Year,Totals
1970.0,0.21
1977.0,1.25
1978.0,1.18
1979.0,0.31
1981.0,1.88
1982.0,14.45
1983.0,7.15
1984.0,2.63
1985.0,0.45
1986.0,1.72
1987.0,0.65
1988.0,0.47
1989.0,0.71
1990.0,4.83
1991.0,0.48
1992.0,1.39
1993.0,0.43
1994.0,1.83
1995.0,2.56
1996.0,7.24
1997.0,12.8
1998.0,14.24
1999.0,23.03
2000.0,26.06
2001.0,44.51
2002.0,62.84
2003.0,57.5
2004.0,40.01
2005.0,64.9
2006.0,47.49
2007.0,82.36
2008.0,83.23
2009.0,99.42
2010.0,85.8
2011.0,102.83
2012.0,29.1
2013.0,71.73
2014.0,61.27
2015.0,53.17
2016.0,27.0
2017.0,36.1
2018.0,28.99
2019.0,0.22
2020.0,0.4
